lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_ukr	full_cat_ukr
árabil	hk	nh	855	1972	19675	Veiðarnar hafa ekki gengið jafn illa um	árabil	.	Veiðarnar hafa ekki gengið jafn illa um	árabil	.	auːrapɪl	Nafnorð	n.	2K									árabil	árabili	árabils															árabil.mp3	years, many years	багато років	іменник
traust	hk	nh	854	1973.5	3857	Ástæðan er sú að okkur skortir	traust	.	Ástæðan er sú að okkur skortir	traust	.	tʰrœist	Nafnorð	n.	2K									traust	trausti	trausts															traust.mp3	trust	довіра	іменник
yndislegur	lo	l	854	1973.5	392233	Þannig að það verður	yndisleg	stund á Austurvelli í dag.	Þannig að það verður	yndisleg	stund á Austurvelli í dag.	ɪntɪstlɛɣʏr	Lýsingarorð	adj.	2K																					yndislegur  --  yndisleg -- yndislegt	yndislegri -- yndislegri -- yndislegra	yndislegastur -- yndislegust -- yndislegast			yndislegur.mp3	lovely	чудовий	прикметник
örfár	lo	l	853	1975.5	408705	Tæplega klukkutíma síðar voru aðeins	örfáar	hræður eftir á Austurvelli.	Tæplega klukkutíma síðar voru aðeins	örfáar	hræður eftir á Austurvelli.	œrvaur	Lýsingarorð	adj.	2K																					örfár  --  örfá -- örfátt					örfár.mp3	very few	дуже мало	прикметник
víðtækur	lo	l	853	1975.5	181254	Verkfall myndi hafa	víðtæk	áhrif á sjúkrahúsinu.	Verkfall myndi hafa	víðtæk	áhrif á sjúkrahúsinu.	viðtʰaikʏr	Lýsingarorð	adj.	2K																					víðtækur  --  víðtæk -- víðtækt	víðtækari -- víðtækari -- víðtækara	víðtækastur -- víðtækust -- víðtækast			víðtækur.mp3	extensive	великий; всеосяжний; обширний	прикметник
frú	kvk	nv	852	1977	190421	Ég vil vara við þeirri þróun ,	frú	forseti.	Ég vil vara við þeirri þróun ,	frú	forseti.	fruː	Nafnorð	f.	2K									frú	frú	frúar	frúr	frúr	frúm	frúa											frú.mp3	miss	пані	іменник
stefnumótun	kvk	nv	851	1978	138912	Störfin sé hægt að skapa með	stefnumótun	stjórnvalda.	Störfin sé hægt að skapa með	stefnumótun	stjórnvalda.	stɛpnʏmoutʏn	Nafnorð	f.	2K									stefnumótun	stefnumótun	stefnumótunar															stefnumótun.mp3	strategic planning, policy-making	стратегічне планування, формування політики	іменник
spænskur	lo	l	850	1979.5	408907	Hún var	spænsk	en bjó hér á landi.	Hún var	spænsk	en bjó hér á landi.	spainskʏr	Lýsingarorð	adj.	2K																					spænskur  --  spænsk -- spænskt	spænskari -- spænskari -- spænskara	spænskastur -- spænskust -- spænskast			spænskur.mp3	Spanish	іспанська	прикметник
þiggja	so	s	850	1979.5	486767	Þrjú hundruð námsmenn	þiggja	fullar atvinnuleysisbætur á þessu skólaári samhliða námi.	Þrjú hundruð námsmenn	þiggja	fullar atvinnuleysisbætur á þessu skólaári samhliða námi.	θɪca	Sagnorð	v.	2K	þigg	þiggur	þiggur	þáði	þáðir	þáði	þegið																			þiggja.mp3	accept	приймати	дієслово
markaðssetning	kvk	nv	849	1981	135647		Markaðssetningin	gangi vel í Noregi því Íslendingar hafi mikla þekkingu.		Markaðssetningin	gangi vel í Noregi því Íslendingar hafi mikla þekkingu.	mar̥kaðsɛhtniŋk	Nafnorð	f.	2K									markaðssetningu	markaðssetningu	markaðssetningar															markaðssetning.mp3	marketing	маркетинг	іменник
tómur	lo	l	848	1982	409131	Sjóðurinn verður því líklegast orðinn	tómur	þegar líður á haustið.	Sjóðurinn verður því líklegast orðinn	tómur	þegar líður á haustið.	tʰouːmʏr	Lýsingarorð	adj.	2K																					tómur  --  tóm -- tómt	tómari -- tómari -- tómara	tómastur -- tómust -- tómast			tómur.mp3	empty	пустий; порожній	прикметник
fremri	lo	l	847	1983.5	406917	Forðast verður að segja upp fólki eftir	fremsta	megni.	Forðast verður að segja upp fólki eftir	fremsta	megni.	frɛmrɪ	Lýsingarorð	adj.	2K																					fremri  --	fremri -- fremri -- fremra	fremstur -- fremst -- fremst			fremri.mp3	front	передній	прикметник
íþrótt	kvk	nv	847	1983.5	121081	Ein ung kona stundar þó þessa	íþrótt	hér á landi.	Ein ung kona stundar þó þessa	íþrótt	hér á landi.	iːθrouht	Nafnorð	f.	2K									íþrótt	íþrótt	íþróttar	íþróttir	íþróttir	íþróttum	íþrótta											íþrótt.mp3	sport	спорт	іменник
hæfileiki	kk	nk	846	1986.5	115014		Hæfileikar	á mörgum sviðum eru nauðsynlegir fyrir Íslendinga.		Hæfileikar	á mörgum sviðum eru nauðsynlegir fyrir Íslendinga.	haiːvɪleicɪ	Nafnorð	m.	2K									hæfileika	hæfileika	hæfileika	hæfileikar	hæfileika	hæfileikum	hæfileika											hæfileiki.mp3	talent	талант; обдарованість	іменник
lífvera	kvk	nv	846	1986.5	145366	Maðurinn sé flókin	lífvera	.	Maðurinn sé flókin	lífvera	.	livɛra	Nafnorð	f.	2K									lífveru	lífveru	lífveru	lífverur	lífverur	lífverum	lífvera											lífvera.mp3	organism, living being	організм; жива істота	іменник
panta	so	s	846	1986.5	422241	Efnið er ólöglegt en auðvelt er að	panta	það á netinu.	Efnið er ólöglegt en auðvelt er að	panta	það á netinu.	pʰan̥ta	Sagnorð	v.	2K	panta	pantar	pantar	pantaði	pantaðir	pantaði	pantað																			panta.mp3	order	замовляти	дієслово
par	hk	nh	846	1986.5	2675		Parið	gistir fangageymslur og verður yfirheyrt í dag.		Parið	gistir fangageymslur og verður yfirheyrt í dag.	pʰaːr	Nafnorð	n.	2K									par	pari	pars	pör	pör	pörum	para											par.mp3	pair, couple	пара; подружжя	іменник
stoltur	lo	l	845	1989.5	166161	Allir eru	stoltir	af þeim.	Allir eru	stoltir	af þeim.	stɔl̥tʏr	Lýsingarorð	adj.	2K																					stoltur  --  stolt -- stolt	stoltari -- stoltari -- stoltara	stoltastur -- stoltust -- stoltast			stoltur.mp3	proud	пишатися	прикметник
útgjöld	hk	nh	845	1989.5	31886		Útgjöldin	voru tæpar 430 þúsund krónur á mánuði.		Útgjöldin	voru tæpar 430 þúsund krónur á mánuði.	uːtcœlt	Nafnorð	n.	2K												útgjöld	útgjöld	útgjöldum	útgjalda											útgjöld.mp3	expenses	витрати	іменник
misseri	hk	nh	844	1991	2429	Gríðarlegar sveiflur hafa orðið á olíumörkuðum undanfarin	misseri	.	Gríðarlegar sveiflur hafa orðið á olíumörkuðum undanfarin	misseri	.	mɪsɛrɪ	Nafnorð	n.	2K									misseri	misseri	misseris	misseri	misseri	misserum	missera											misseri.mp3	semester, term	семестр; термін; півріччя	іменник
einstaklega	ao	a	842	1992	496770	Þetta voru reyndar alveg	einstaklega	góðir tónleikar fyrir okkur líka.	Þetta voru reyndar alveg	einstaklega	góðir tónleikar fyrir okkur líka.	einstaklɛɣa	Atviksorð	adv.	2K								einstaklega																		einstaklega.mp3	especially	особливо	прислівник
giftur	lo	l	841	1994	466539	Hjónin hafa verið	gift	í rúm 65 ár.	Hjónin hafa verið	gift	í rúm 65 ár.	cɪftʏr	Lýsingarorð	adj.	2K																					giftur  --  gift -- gift					giftur.mp3	married	одружений	прикметник
játa	so	s	841	1994	483491	Maðurinn	játaði	brot sitt fyrir dómi.	Maðurinn	játaði	brot sitt fyrir dómi.	jauːta	Sagnorð	v.	2K	játa	játar	játar	játaði	játaðir	játaði	játað																			játa.mp3	admit, confess	зізнаватися; визнавати	дієслово
magi	kk	nk	841	1994	9083	Hún segist hafa fengið mikinn fiðring í	magann	í gærkvöldi.	Hún segist hafa fengið mikinn fiðring í	magann	í gærkvöldi.	maijɪ	Nafnorð	m.	2K									maga	maga	maga	magar	maga	mögum	maga											magi.mp3	stomach, belly	живіт	іменник
heilbrigðisþjónusta	kvk	nv	840	1996	416107	Sóttvarnalæknir segir ástandið erfitt og mikið álag sé á	heilbrigðisþjónustunni	.	Sóttvarnalæknir segir ástandið erfitt og mikið álag sé á	heilbrigðisþjónustunni	.	heilprɪɣðɪsθjounʏsta	Nafnorð	f.	2K									heilbrigðisþjónustu	heilbrigðisþjónustu	heilbrigðisþjónustu															heilbrigðisþjónusta.mp3	health care service	служба охорони здоров'я	іменник
stjórnarformaður	kk	nk	839	1997	311523	Hann hafnaði boði um að verða	stjórnarformaður	nýrrar stjórnar.	Hann hafnaði boði um að verða	stjórnarformaður	nýrrar stjórnar.	stjourtnar̥fɔrmaðʏr	Nafnorð	m.	2K									stjórnarformann	stjórnarformanni	stjórnarformanns	stjórnarformenn	stjórnarformenn	stjórnarformönnum	stjórnarformanna											stjórnarformaður.mp3	Chairman of the Board	голова правління	іменник
band	hk	nh	837	1999	485	Ekki er vitað af hverju eldurinn fór úr	böndunum	.	Ekki er vitað af hverju eldurinn fór úr	böndunum	.	pant	Nafnorð	n.	2K									band	bandi	bands	bönd	bönd	böndum	banda											band.mp3	string, yarn	нитка; пряжа; шнурок	іменник
fang	hk	nh	837	1999	978	Drengurinn var í	fangi	móður sinnar heima hjá þeim á Selfossi.	Drengurinn var í	fangi	móður sinnar heima hjá þeim á Selfossi.	fauŋk	Nafnorð	n.	2K									fang	fangi	fangs	föng	föng	föngum	fanga											fang.mp3	arms, embrace	руки; обійми	іменник
misjafn	lo	l	837	1999	450109	Menn fögnuðu nýju ári með	misjöfnum	hætti á landinu.	Menn fögnuðu nýju ári með	misjöfnum	hætti á landinu.	mɪːsjapn̥	Nafnorð	adj.	2K																					misjafn  --  misjöfn -- misjafnt	misjafnari -- misjafnari -- misjafnara	misjafnastur -- misjöfnust -- misjafnast			misjafn.mp3	uneven	нерівномірний	прикметник
umboðsmaður	kk	nk	836	2001	88952	Þá hefur	umboðsmaður	Alþingis óskað eftir upplýsingum um málið.	Þá hefur	umboðsmaður	Alþingis óskað eftir upplýsingum um málið.	ʏmpɔðsmaðʏr	Nafnorð	m.	3K									umboðsmann	umboðsmanni	umboðsmanns	umboðsmenn	umboðsmenn	umboðsmönnum	umboðsmanna											umboðsmaður.mp3	agent	представник; уповноважений; омбудсмен	іменник
þurr	lo	l	835	2002	411964	Það verður hægara og	þurrt	veður norðaustanlands fram á kvöld.	Það verður hægara og	þurrt	veður norðaustanlands fram á kvöld.	θʏr	Lýsingarorð	adj.	3K																					þurr  --  þurr -- þurrt	þurrari -- þurrari -- þurrara	þurrastur -- þurrust -- þurrast			þurr.mp3	dry	сухий	прикметник
fyndinn	lo	l	833	2003	165098	Helst að mönnum hefði fundist þetta bara	fyndið	.	Helst að mönnum hefði fundist þetta bara	fyndið	.	fɪntɪn	Lýsingarorð	adj.	3K																					fyndinn  --  fyndin -- fyndið	fyndnari -- fyndnari -- fyndnara	fyndnastur -- fyndnust -- fyndnast			fyndinn.mp3	funny	смішний	прикметник
hraun	hk	nh	832	2004.5	1660		Hraun	rennur áfram í farveg Jökulsár á fjöllum.		Hraun	rennur áfram í farveg Jökulsár á fjöllum.	r̥œiːn	Nafnorð	n.	3K									hraun	hrauni	hrauns	hraun	hraun	hraunum	hrauna											hraun.mp3	lava, lava field	лава	іменник
lögfræðingur	kk	nk	832	2004.5	99427	Hann hefur sett sig í samband við	lögfræðing	vegna málsins.	Hann hefur sett sig í samband við	lögfræðing	vegna málsins.	lœxfraiðiŋkʏr	Nafnorð	m.	3K									lögfræðing	lögfræðingi	lögfræðings	lögfræðingar	lögfræðinga	lögfræðingum	lögfræðinga											lögfræðingur.mp3	lawyer	адвокат; юрист	іменник
blása	so	s	830	2008.5	433583	Bátinn	blés	upp og slitnaði hann frá togaranum í sjóganginum.	Bátinn	blés	upp og slitnaði hann frá togaranum í sjóganginum.	plauːsa	Sagnorð	v.	3K	blæs	blæst	blæs	blés	blést	blés	blásið																			blása.mp3	blow	ударити	дієслово
daglega	ao	a	830	2008.5	495209	Hátt í hundrað símtöl komi	daglega	.	Hátt í hundrað símtöl komi	daglega	.	taɣlɛɣa	Atviksorð	adv.	3K								daglega																		daglega.mp3	daily	щодня	прислівник
hálfleikur	kk	nk	830	2008.5	101053	Síðari	hálfleikur	þróaðist líkt og sá fyrri.	Síðari	hálfleikur	þróaðist líkt og sá fyrri.	haulvleikʏr	Nafnorð	m.	3K									hálfleik	hálfleik	hálfleiks	hálfleikir	hálfleiki	hálfleikjum	hálfleikja											hálfleikur.mp3	half time	перерва між таймами	іменник
kveðja	kvk	nv	830	2008.5	14231	Takk fyrir þetta og bestu	kveðjur	.	Takk fyrir þetta og bestu	kveðjur	.	kʰvɛðja	Nafnorð	f.	3K									kveðju	kveðju	kveðju	kveðjur	kveðjur	kveðjum	kveðja											kveðja.mp3	greeting	привітання	іменник
lágmark	hk	nh	830	2008.5	473526	Nýjar reglur gera kröfu um	lágmarks	námsframvindu.	Nýjar reglur gera kröfu um	lágmarks	námsframvindu.	lauɣmar̥k	Nafnorð	n.	3K									lágmark	lágmarki	lágmarks	lágmörk	lágmörk	lágmörkum	lágmarka											lágmark.mp3	minimum	мінімум	іменник
veitingastaður	kk	nk	830	2008.5	82819	Heimilt er þó að hafa gisti- og	veitingastaði	opna allan sólarhringinn.	Heimilt er þó að hafa gisti- og	veitingastaði	opna allan sólarhringinn.	veiːtiŋkastaðʏr	Nafnorð	m.	3K									veitingastað	veitingastað	veitingastaðar	veitingastaðir	veitingastaði	veitingastöðum	veitingastaða											veitingastaður.mp3	restaurant	ресторан	іменник
hlutfallslega	ao	a	828	2013	497096	Verðið hefur hækkað	hlutfallslega	mun meira en launin undanfarin misseri.	Verðið hefur hækkað	hlutfallslega	mun meira en launin undanfarin misseri.	l̥ʏːtfalstlɛɣa	Atviksorð	adv.	3K								hlutfallslega																		hlutfallslega.mp3	proportionally	пропорційно	прислівник
sáttur	lo	l	828	2013	166157	Þá segir hann fólk	sátt	að greiða fyrir aðgang að svæðinu.	Þá segir hann fólk	sátt	að greiða fyrir aðgang að svæðinu.	sauhtʏr	Lýsingarorð	adj.	3K																					sáttur  --  sátt -- sátt	sáttari -- sáttari -- sáttara	sáttastur -- sáttust -- sáttast			sáttur.mp3	satisfied; at peace	задоволений; спокійний	прикметник
skaði	kk	nk	828	2013	9155	Sagnfræðingur segir að	skaðinn	sé óbætanlegur.	Sagnfræðingur segir að	skaðinn	sé óbætanlegur.	skaːðɪ	Nafnorð	m.	3K									skaða	skaða	skaða	skaðar	skaða	sköðum	skaða											skaði.mp3	damage	пошкодження; збиток	іменник
kartafla	kvk	nv	826	2016	16461	Nýjar íslenskar	kartöflur	eru komnar í verslanir.	Nýjar íslenskar	kartöflur	eru komnar í verslanir.	kʰar̥tapla	Nafnorð	f.	3K									kartöflu	kartöflu	kartöflu	kartöflur	kartöflur	kartöflum	kartaflna											kartafla.mp3	potato	картопля	іменник
sjöundi	rt	l	826	2016	403838	Þetta er í	sjöunda	sinn sem jólaþorpið rís.	Þetta er í	sjöunda	sinn sem jólaþorpið rís.	sjœːʏntɪ	Töluorð	num.	3K																sjöundu -- sjöundu -- sjöundu	sjöundi  --  sjöunda -- sjöunda									sjöundi.mp3	seventh	усьоме	чисельник
skáldskapur	kk	nk	826	2016	81232	Samspil vísinda og	skáldskapar	er flókið og margslungið.	Samspil vísinda og	skáldskapar	er flókið og margslungið.	skaultskapʏr	Nafnorð	m.	3K									skáldskap	skáldskap	skáldskapar															skáldskapur.mp3	fiction	художня література	іменник
ávöxtur	kk	nk	825	2020	85499	Og níu mánuðum síðar beri það	ávöxt	.	Og níu mánuðum síðar beri það	ávöxt	.	auːvœkstʏr	Nafnorð	m.	3K									ávöxt	ávexti	ávaxtar	ávextir	ávexti	ávöxtum	ávaxta											ávöxtur.mp3	fruit	фрукт	іменник
haga	so	s	825	2020	466683	Gestir	höguðu	sér almennt mjög vel.	Gestir	höguðu	sér almennt mjög vel.	haːɣa	Sagnorð	v.	3K	haga	hagar	hagar	hagaði	hagaðir	hagaði	hagað																			haga.mp3	behave; arrange, manage	поводитися; влаштувати	дієслово
látinn	lo	l	825	2020	390988	Hann fannst	látinn	á heimili sínu um síðustu helgi.	Hann fannst	látinn	á heimili sínu um síðustu helgi.	lauːtɪn	Lýsingarorð	adj.	3K																					látinn  --  látin -- látið					látinn.mp3	deceased	мертвий	прикметник
reynd	kvk	nv	825	2020	10630	Þannig að í	reynd	hefur þetta mjög lítið verið notað.	Þannig að í	reynd	hefur þetta mjög lítið verið notað.	reint	Nafnorð	f.	3K									reynd	reynd	reyndar	reyndir	reyndir	reyndum	reynda											reynd.mp3	practice, experience	практика; досвід; реальність	іменник
úthluta	so	s	825	2020	424817	Alls var	úthlutað	um 45 milljónum krónum.	Alls var	úthlutað	um 45 milljónum krónum.	uːtl̥ʏta	Sagnorð	v.	3K	úthluta	úthlutar	úthlutar	úthlutaði	úthlutaðir	úthlutaði	úthlutað																			úthluta.mp3	assign, allocate	виділяти; розподіляти	дієслово
fjarlægja	so	s	824	2024	434665	Bílarnir stórskemmdust og varð að	fjarlægja	þá með kranabíl.	Bílarnir stórskemmdust og varð að	fjarlægja	þá með kranabíl.	fjarlaija	Sagnorð	v.	3K	fjarlægi	fjarlægir	fjarlægir	fjarlægði	fjarlægðir	fjarlægði	fjarlægt																			fjarlægja.mp3	remove	вилучати; прибирати; видаляти	дієслово
heilsa	so	s	824	2024	424570	Nýbökuðum mæðrum og börnum	heilsast	vel.	Nýbökuðum mæðrum og börnum	heilsast	vel.	heilsa	Sagnorð	v.	3K	heilsa	heilsar	heilsar	heilsaði	heilsaðir	heilsaði	heilsað																			heilsa.mp3	greet	вітати	дієслово
not	hk	nh	824	2024	2589	Þessir eiginleikar vélarinnar koma Íslendingum þó ekki að	notum	í bili.	Þessir eiginleikar vélarinnar koma Íslendingum þó ekki að	notum	í bili.	nɔːt	Nafnorð	n.	3K												not	not	notum	nota											not.mp3	use	використання	іменник
ævintýri	hk	nh	823	2027.5	4207	Þetta var eiginlega	ævintýri	og gerðist á mjög skemmtilegan hátt.	Þetta var eiginlega	ævintýri	og gerðist á mjög skemmtilegan hátt.	aivɪntʰirɪ	Nafnorð	n.	3K									ævintýri	ævintýri	ævintýris	ævintýri	ævintýri	ævintýrum	ævintýra											ævintýri.mp3	adventure	пригода	іменник
hámark	hk	nh	823	2027.5	48390	Veðrið mun ná	hámarki	núna í hádeginu.	Veðrið mun ná	hámarki	núna í hádeginu.	hauːmar̥k	Nafnorð	n.	3K									hámark	hámarki	hámarks	hámörk	hámörk	hámörkum	hámarka											hámark.mp3	maximum	максимум	іменник
rækta	so	s	823	2027.5	422688	Hann hefur verið að	rækta	lífrænt grænmeti í átján ár.	Hann hefur verið að	rækta	lífrænt grænmeti í átján ár.	raixta	Sagnorð	v.	3K	rækta	ræktar	ræktar	ræktaði	ræktaðir	ræktaði	ræktað																			rækta.mp3	grow, cultivate, breed	вирощувати; розводити	дієслово
sjálfstæði	hk	nh	823	2027.5	472900	Með þeim sé öryggi íslensku þjóðarinnar og	sjálfstæði	ógnað.	Með þeim sé öryggi íslensku þjóðarinnar og	sjálfstæði	ógnað.	sjaulfstaiðɪ	Nafnorð	n.	3K									sjálfstæði	sjálfstæði	sjálfstæðis															sjálfstæði.mp3	independence	незалежність	іменник
fjárhagslegur	lo	l	822	2030	390425	Miklir	fjárhagslegir	hagsmunir séu í húfi.	Miklir	fjárhagslegir	hagsmunir séu í húfi.	fjaurhaxstlɛɣʏr	Lýsingarorð	adj.	3K																					fjárhagslegur  --  fjárhagsleg -- fjárhagslegt	fjárhagslegri -- fjárhagslegri -- fjárhagslegra	fjárhagslegastur -- fjárhagslegust -- fjárhagslegast			fjárhagslegur.mp3	financial	фінансовий	прикметник
sofna	so	s	821	2031	424774	Hugsanlegt er talið að ökumaðurinn hafi	sofnað	undir stýri.	Hugsanlegt er talið að ökumaðurinn hafi	sofnað	undir stýri.	sɔpna	Sagnorð	v.	3K	sofna	sofnar	sofnar	sofnaði	sofnaðir	sofnaði	sofnað																			sofna.mp3	fall asleep	засинати	дієслово
leigja	so	s	820	2032	435021	Þar eru	leigð	út herbergi og einstaklingsíbúðir á efri hæð hússins.	Þar eru	leigð	út herbergi og einstaklingsíbúðir á efri hæð hússins.	leija	Sagnorð	v.	3K	leigi	leigir	leigir	leigði	leigðir	leigði	leigt																			leigja.mp3	rent	орендувати	дієслово
kór	kk	nk	819	2033.5	5364	Þrír	kórar	munu syngja við athöfnina.	Þrír	kórar	munu syngja við athöfnina.	kʰouːr	Nafnorð	m.	3K									kór	kór	kórs	kórar	kóra	kórum	kóra											kór.mp3	choir	хор	іменник
kring	fs	a	819	2033.5	495298	Það eru engar breytingar sem sjást í ám þarna í	kring	.	Það eru engar breytingar sem sjást í ám þarna í	kring	.	kʰriŋk	Forsetning	prep.	3K								kring																		kring.mp3	around	навколо	прийменник
ábending	kvk	nv	818	2035.5	132406	Í ár bárust meira en 40	ábendingar	.	Í ár bárust meira en 40	ábendingar	.	auːpɛntiŋk	Nafnorð	f.	3K									ábendingu	ábendingu	ábendingar	ábendingar	ábendingar	ábendingum	ábendinga											ábending.mp3	tip, suggestion	порада; пропозиция	іменник
hreinlega	ao	a	818	2035.5	497126	Hann hefði	hreinlega	ekki heyrt af henni fyrr en núna.	Hann hefði	hreinlega	ekki heyrt af henni fyrr en núna.	r̥eiːnlɛɣa	Atviksorð	adv.	3K																								hreinlegar	hreinlegast	hreinlega.mp3	purely, simply	чисто; просто	прислівник
viðurkenndur	lo	l	817	2037	410321	Óhætt er að neyta kræklings frá	viðurkenndum	framleiðendum.	Óhætt er að neyta kræklings frá	viðurkenndum	framleiðendum.	vɪːðʏr̥cʰɛntʏr	Lýsingarorð	adj.	3K																					viðurkenndur  --  viðurkennd -- viðurkennt	viðurkenndari -- viðurkenndari -- viðurkenndara	viðurkenndastur -- viðurkenndust -- viðurkenndast			viðurkenndur.mp3	acknowledged	визнаний	прикметник
bros	hk	nh	816	2039	669	Hann segist kveðja með	bros	á vör og hlakkar til haustmánaða.	Hann segist kveðja með	bros	á vör og hlakkar til haustmánaða.	prɔːs	Nafnorð	n.	3K									bros	brosi	bross	bros	bros	brosum	brosa											bros.mp3	smile	посмішка	іменник
framburður	kk	nk	816	2039	83193	Héraðsdómur taldi	framburð	mannsins ótrúverðugan.	Héraðsdómur taldi	framburð	mannsins ótrúverðugan.	frampʏrðʏr	Nafnorð	m.	3K									framburð	framburði	framburðar															framburður.mp3	pronunciation	вимова; доказ; свідчення	іменник
vinátta	kvk	nv	816	2039	15448	Tilgangur hlaupsins er að efla	vináttu	og skilning.	Tilgangur hlaupsins er að efla	vináttu	og skilning.	vɪːnauhta	Nafnorð	f.	3K									vináttu	vináttu	vináttu															vinátta.mp3	friendship	дружба	іменник
landslag	hk	nh	814	2041.5	470759	En	landslagið	hérna er stórkostlegt.	En	landslagið	hérna er stórkostlegt.	lantstlaɣ	Nafnorð	n.	3K									landslag	landslagi	landslags															landslag.mp3	landscape	пейзаж; краєвид	іменник
lýðræði	hk	nh	814	2041.5	416634	Þetta væri því mikill gleðidagur fyrir	lýðræði	.	Þetta væri því mikill gleðidagur fyrir	lýðræði	.	liðraiðɪ	Nafnorð	n.	3K									lýðræði	lýðræði	lýðræðis															lýðræði.mp3	democracy	демократія	іменник
stækkun	kvk	nv	813	2043	13370	Mun fleiri konur eru andvígar	stækkuninni	en karlar.	Mun fleiri konur eru andvígar	stækkuninni	en karlar.	staihkʏn	Nafnorð	f.	3K									stækkun	stækkun	stækkunar	stækkanir	stækkanir	stækkunum	stækkana											stækkun.mp3	expansion	збільшення; розширення	іменник
fyrirmæli	hk	nh	812	2044	465546	Nokkrir hafi verið hikandi við það en þó fylgt	fyrirmælum	lögreglu.	Nokkrir hafi verið hikandi við það en þó fylgt	fyrirmælum	lögreglu.	fɪːrɪrmailɪ	Nafnorð	n.	3K												fyrirmæli	fyrirmæli	fyrirmælum	fyrirmæla											fyrirmæli.mp3	instruction	наказ; розпорядження; вказівка; інструкція	іменник
handleggur	kk	nk	811	2045.5	406747	Ungbörn eru venjulega bólusett gegn bakteríusýkingum í	handlegg	eða læri.	Ungbörn eru venjulega bólusett gegn bakteríusýkingum í	handlegg	eða læri.	hantlɛkʏr	Nafnorð	m.	3K									handlegg	handlegg	handleggjar	handleggir	handleggi	handleggjum	handleggja											handleggur.mp3	arm	рука	іменник
tenging	kvk	nv	811	2045.5	12106	Í kassanum voru	tengingar	á rafleiðslum inn í húsin.	Í kassanum voru	tengingar	á rafleiðslum inn í húsin.	tʰeinciŋk	Nafnorð	f.	3K									tengingu	tengingu	tengingar	tengingar	tengingar	tengingum	tenginga											tenging.mp3	connection	підключення; з'єднання	іменник
hæfi	hk	nh	810	2048	1758	Hann efast þó ekki um	hæfi	þeirra sem þar þegar sitja.	Hann efast þó ekki um	hæfi	þeirra sem þar þegar sitja.	haiːvɪ	Nafnorð	n.	3K									hæfi	hæfi	hæfis															hæfi.mp3	suitability	придатність	іменник
sykur	kk	nk	810	2048	472689	Á Íslandi er notaður venjulegur hvítur	sykur	í framleiðslu drykkjarins.	Á Íslandi er notaður venjulegur hvítur	sykur	í framleiðslu drykkjarins.	sɪːkʏr	Nafnorð	m.	3K									sykur	sykri	sykurs															sykur.mp3	sugar	цукор	іменник
virkilega	ao	a	810	2048	498110	Fyrirtæki hérna heima eru	virkilega	farin að nýta sér þetta.	Fyrirtæki hérna heima eru	virkilega	farin að nýta sér þetta.	vɪr̥cɪlɛɣa	Atviksorð	adv.	3K								virkilega																		virkilega.mp3	really	дійсно; справді	прислівник
ákvarða	so	s	809	2051	419435	Fjölmargir kjarasamningar innihalda ákvæði sem láta lífaldur	ákvarða	laun fólks.	Fjölmargir kjarasamningar innihalda ákvæði sem láta lífaldur	ákvarða	laun fólks.	auːkʰvarða	Sagnorð	v.	3K	ákvarða	ákvarðar	ákvarðar	ákvarðaði	ákvarðaðir	ákvarðaði	ákvarðað																			ákvarða.mp3	determine	визначати; вирішувати; встановлювати	дієслово
fræðilegur	lo	l	809	2051	390536	Það er ekki	fræðilegur	möguleiki.	Það er ekki	fræðilegur	möguleiki.	fraiːðɪlɛɣʏr	Lýsingarorð	adj.	3K																					fræðilegur  --  fræðileg -- fræðilegt	fræðilegri -- fræðilegri -- fræðilegra	fræðilegastur -- fræðilegust -- fræðilegast			fræðilegur.mp3	theoretical	теоретичний	прикметник
rás	kvk	nv	809	2051	10392	Piltarnir tóku á	rás	en einn þeirra náðist á hlaupum.	Piltarnir tóku á	rás	en einn þeirra náðist á hlaupum.	rauːs	Sagnorð	f.	3K									rás	rás	rásar	rásir	rásir	rásum	rása											rás.mp3	channel; course	бігти; тікати	іменник
uppgötva	so	s	808	2053	424017	Innbrotið	uppgötvaðist	í morgun þegar starfsmenn komu til starfa.	Innbrotið	uppgötvaðist	í morgun þegar starfsmenn komu til starfa.	ʏhpkœtva	Sagnorð	v.	3K	uppgötva	uppgötvar	uppgötvar	uppgötvaði	uppgötvaðir	uppgötvaði	uppgötvað																			uppgötva.mp3	discover	відкривати; виявляти	дієслово
innihald	hk	nh	807	2054.5	427903	Ekkert verður heldur látið uppi um	innihald	hans.	Ekkert verður heldur látið uppi um	innihald	hans.	ɪnɪhalt	Nafnorð	n.	3K									innihald	innihaldi	innihalds															innihald.mp3	content	зміст	іменник
lík	hk	nh	807	2054.5	2274		Lík	af samferðakonu hennar fannst í fyrradag.		Lík	af samferðakonu hennar fannst í fyrradag.	liːk	Nafnorð	n.	3K									lík	líki	líks	lík	lík	líkum	líka											lík.mp3	corpse	труп	іменник
